Timestamp,1. Did you learn the regression model before?,2. Which programming language have you tried or used before,"3. Have you taken any statistic courses before, such as learning normal distribution, meaning of p-value, etc?",4. What do you expect to achieve by attending the tutorial?,5. How many hours do you plan to spend on the tutorial of ININ per week?,6. What is your goal of taking ININ course?,"7. What is your priority rank of taking ININ course in terms of other things to do (such as studing other courses, doing intership, doing sports, ... every day we rank our activities based on priority)? 1 to 10, 1 is the most important things, 10 is the least important. ",8. Do you want to build up your own start-up one day?,9. Did you try ChatGPT?,10. Do you like ChatGPT?
4/19/2023 11:44:37,No,Python,Yes,Hello world,2-3 hours per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,4,Maybe,Yes,Yes
4/19/2023 11:47:39,Yes,R,Yes,,1 hour  per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,5,Maybe,Yes,Yes
4/19/2023 11:59:12,Yes,R,Yes,Establishing more knowledge in statistical analysis,2-3 hours per week,Pass the exam and get the grade and learn some knowledge,6,Yes,Yes,Yes
4/19/2023 12:01:02,No,none ,No,Pass the exam and get the grade and learn some knowledge,1 hour  per week,Pass the exam and get the grade and learn some knowledge,5,Maybe,No,Okay-okay
4/19/2023 12:01:51,Yes,R,Yes,Refresh my Knowledge ,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,No,Yes,Okay-okay
4/19/2023 12:02:56,No,none,No,Good grade,1 hour  per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,2,No,Yes,Yes
4/19/2023 12:03:06,Yes,"R, SPSS",Yes,refreshing statistics knowledge,1 hour  per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,Maybe,Yes,Okay-okay
4/19/2023 12:13:58,Yes,Python,Yes,,1 hour  per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,7,No,Yes,Yes
4/19/2023 12:57:34,Yes,R,No,,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,No,Yes,No
4/19/2023 12:59:58,Yes,Stata,Yes,Preparation for the Exam,"1 hour  per week, 2-3 hours per week","Learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,Yes,Yes,Okay-okay
4/19/2023 13:03:13,Yes,None,Yes,Pass the exam,2-3 hours per week,Pass the exam and get the grade and learn some knowledge,6,Maybe,Yes,Yes
4/19/2023 13:22:19,Yes,Stata,Yes,refresh of knowledge,1 hour  per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,Maybe,Yes,Yes
4/19/2023 13:22:19,Yes,Stata,Yes,refresh of knowledge,1 hour  per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",6,Maybe,Yes,Yes
4/19/2023 13:43:26,Yes,R,Yes,,1 hour  per week,Pass the exam and get the grade and learn some knowledge,5,Maybe,Yes,Yes
4/19/2023 14:10:43,Yes,Python,Yes,,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,Yes,Yes,Yes
4/19/2023 14:43:24,No,R,No,More Knowledge about statistics ,1 hour  per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",4,Maybe,Yes,Yes
4/19/2023 15:03:35,Yes,R,Yes,Better intuitive statistical understanding,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",4,No,Yes,Okay-okay
4/19/2023 15:35:45,No,Python,Yes,Be prepared for the exam,1 hour  per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,3,No,Yes,Yes
4/19/2023 16:03:15,Yes,R,Yes,Deeper insight into the practice,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",7,Maybe,No,No
4/19/2023 17:11:21,Yes,"gretl, JMP",Yes,,1 hour  per week,Pass the exam and get the grade and learn some knowledge,4,Maybe,Yes,Okay-okay
4/19/2023 20:57:15,Yes,R,Yes,Being perfectly prepared for the exam + basis for the master thesis,1 hour  per week,Get a good grade by miniming the cost and effort as a complementary part of my study.,4,Maybe,Yes,Yes
4/20/2023 23:44:06,No,,No,,1 hour  per week,Pass the exam and get the grade and learn some knowledge,9,Maybe,Yes,Yes
4/20/2023 23:44:06,No,,No,,1 hour  per week,Pass the exam and get the grade and learn some knowledge,9,Maybe,Yes,Yes
4/21/2023 11:21:16,Yes,R,Yes,Learn how to use STATA,2-3 hours per week,"Learn some knowledge and gain pratical skills and pass the exam, and get good grade",3,Maybe,Yes,Okay-okay